time,acc_x,acc_y,acc_z,yaw,pitch,roll,Unnamed: 7,velocity_x,velocity_y,velocity_z,velocity_magnitude,momentum,normal_force,energy
0.392262,-0.0385,-0.0022,-0.1469,0.0672,-0.0397,-0.0153,,0.0065452009853603,-0.0032845008581081,0.0084330052961711,0.011168848649298,0.458164068975221,684.005,0.0014993879578566504
0.419077,-0.0385,-0.0022,-0.1469,0.0672,-0.0397,-0.0153,,0.0060982116497747,-0.0033100431058558,0.0067274797533783,0.0096645514391609,0.426874815484229,684.005,0.0013015864863906755
0.419719,-0.0265,-0.0883,0.0556,0.0672,-0.0397,-0.0153,,0.0056512223141891,-0.0033355853536036,0.0050219542105855,0.0082633206030495,0.395585561993237,684.845,0.0011177709775536083
0.42042,-0.0265,-0.0883,0.0556,0.0751,-0.0483,-0.0238,,0.0052042329786036,-0.0033611276013513,0.0033164286677927,0.0070270846555815,0.364296308502252,684.845,0.0009479414313454854
0.431913,-0.0265,-0.0883,0.0556,0.088,-0.0507,-0.0299,,0.004757243643018,-0.003386669849099,0.001610903125,0.0060577148021318,0.33300705501126004,684.845,0.0007920978477662311
0.459059,-0.0265,-0.0883,0.0556,0.0941,-0.0495,-0.036,,0.0043799149831081,-0.0039120274448198,0.0010809014842342,0.0059712613413665,0.30659404881756697,684.845,0.0006714279340739188
0.472035,-0.0265,-0.0883,0.0556,0.0941,-0.0495,-0.036,,0.0040722469988738,-0.0049372003885135,0.0017264237454954,0.0066287013996095,0.285057289921166,684.845,0.0005804118466942837
0.472564,-0.0009,0.1306,-0.0737,0.0941,-0.0495,-0.036,,0.0037645790146396,-0.0059623733322072,0.0023719460067567,0.0074396289402798,0.263520531024772,686.6370000000001,0.0004960219305112702
0.473153,-0.0009,0.1306,-0.0737,0.0929,-0.0336,-0.0324,,0.0034569110304054,-0.0069875462759008,0.003017468268018,0.0083594946963611,0.241983772128378,686.6370000000001,0.0004182581855248483
0.497999,-0.0009,0.1306,-0.0737,0.08,-0.0263,-0.0232,,0.0031492430461711,-0.0080127192195945,0.0036629905292792,0.0093562225643422,0.220447013231977,686.6370000000001,0.000347120611734996
0.511721,-0.0009,0.1306,-0.0737,0.0702,-0.0238,-0.022,,0.0029901845033783,-0.0077671653378378,0.0035579190101351,0.0090514555974293,0.209312915236481,686.6370000000001,0.00031294211774853057
0.538467,-0.0009,0.1306,-0.0737,0.0702,-0.0238,-0.022,,0.002979735402027,-0.0062508846306306,0.0027022537105855,0.0074333408941014,0.20858147814189001,686.6370000000001,0.0003107588073132553
0.539149,0.0004,-0.189,0.1109,0.0702,-0.0238,-0.022,,0.0029692863006756,-0.0047346039234234,0.001846588411036,0.0058858324990479,0.20785004104729202,686.7280000000001,0.00030858313973829263
0.539962,0.0004,-0.189,0.1109,0.0831,-0.0428,-0.0281,,0.0029588371993243,-0.0032183232162162,0.0009909231114864,0.0044826610968285,0.20711860395270099,686.7280000000001,0.0003064151150236843
0.552233,0.0004,-0.189,0.1109,0.11,-0.0635,-0.0348,,0.0029483880979729,-0.0017020425090089,0.0001352578119369,0.0034070861090427,0.206387166858103,686.7280000000001,0.00030425473316938887
0.578334,0.0004,-0.189,0.1109,0.1185,-0.0635,-0.0318,,0.0029454855698198,-0.0020410577972972,0.0003512059065315,0.0036007148960598,0.206183989887386,686.7280000000001,0.00030365598347058357
0.591407,0.0004,-0.189,0.1109,0.1185,-0.0635,-0.0318,,0.0029501296148648,-0.004235369081081,0.0016387673952702,0.0054154570050256,0.20650907304053598,686.7280000000001,0.0003046142660575816
0.591972,-0.0119,0.0859,-0.0545,0.1185,-0.0635,-0.0318,,0.0029547736599099,-0.0064296803648648,0.002926328884009,0.0076573414259135,0.206834156193693,685.867,0.00030557405834540714
0.592521,-0.0119,0.0859,-0.0545,0.1045,-0.066,-0.0269,,0.0029594177049549,-0.0086239916486486,0.0042138903727477,0.0100443146695978,0.207159239346843,685.867,0.0003065353603340184
0.618958,-0.0119,0.0859,-0.0545,0.0788,-0.0696,-0.0263,,0.00296406175,-0.0108183029324324,0.0055014518614864,0.012493490824423,0.2074843225,685.867,0.0003074981720234572
0.63226,-0.0119,0.0859,-0.0545,0.0611,-0.0623,-0.0312,,0.0028973036024774,-0.0114168042376125,0.0058288570371621,0.0131420455608924,0.202811252173418,685.867,0.00029380288577249817
0.659451,-0.0119,0.0859,-0.0545,0.0611,-0.0623,-0.0312,,0.0027591432623873,-0.0104194955641891,0.0051961058997747,0.0119657125101771,0.193140028367111,685.867,0.00026645050398320315
0.660361,0.0663,-0.1749,0.1124,0.0611,-0.0623,-0.0312,,0.0026209829222972,-0.0094221868907657,0.0045633547623873,0.0107921899525024,0.183468804560804,691.341,0.00024043430176407495
0.661609,0.0663,-0.1749,0.1124,0.0696,-0.055,-0.0367,,0.0024828225822072,-0.0084248782173423,0.0039306036249999,0.0096225062124495,0.173797580754504,691.341,0.00021575427911513099
0.671878,0.0663,-0.1749,0.1124,0.0916,-0.0696,-0.0452,,0.0023446622421171,-0.0074275695439189,0.0032978524876126,0.0084582540390682,0.16412635694819702,691.341,0.00019241043603633555
